,index,Total_2019,Non Hispanic_2019,Non Hispanic White_2019,Non Hispanic Black_2019,Non Hispanic American Indian and Alaska Native_2019,Non Hispanic Asian_2019,Non Hispanic Native Hawaiian and Other Pacific Islander_2019,Non Hispanic Some other race_2019,Non Hispanic Two or more races_2019,Hispanic_2019,Percent Total_2019,Percent Non Hispanic_2019,Percent Non Hispanic White_2019,Percent Non Hispanic Black_2019,Percent Non Hispanic American Indian and Alaska Native_2019,Percent Non Hispanic Asian_2019,Percent Non Hispanic Native Hawaiian and Other Pacific Islander_2019,Percent Non Hispanic Some other race_2019,Percent Non Hispanic Two or more races_2019,Percent Hispanic_2019,Total_2013,Non Hispanic_2013,Non Hispanic White_2013,Non Hispanic Black_2013,Non Hispanic American Indian and Alaska Native_2013,Non Hispanic Asian_2013,Non Hispanic Native Hawaiian and Other Pacific Islander_2013,Non Hispanic Some other race_2013,Non Hispanic Two or more races_2013,Hispanic_2013,Percent Total_2013,Percent Non Hispanic_2013,Percent Non Hispanic White_2013,Percent Non Hispanic Black_2013,Percent Non Hispanic American Indian and Alaska Native_2013,Percent Non Hispanic Asian_2013,Percent Non Hispanic Native Hawaiian and Other Pacific Islander_2013,Percent Non Hispanic Some other race_2013,Percent Non Hispanic Two or more races_2013,Percent Hispanic_2013,Total_change,Non Hispanic_change,Non Hispanic White_change,Non Hispanic Black_change,Non Hispanic American Indian and Alaska Native_change,Non Hispanic Asian_change,Non Hispanic Native Hawaiian and Other Pacific Islander_change,Non Hispanic Some other race_change,Non Hispanic Two or more races_change,Hispanic_change,iqv_2019_sq,iqv_2013_sq,index_right,Index 2019,Index 2013
0,ASHBY,1218.967741935484,1021.1290322580645,467.93548387096774,312.1774193548387,4.145161290322581,155.16129032258064,0.0,6.258064516129032,75.45161290322581,197.83870967741936,100.0,83.278630573567,38.71519783140753,25.45885031726282,0.3145355961785852,12.042353161524272,0.0,0.6468888706124739,6.10080479658132,16.721369426433007,1052.5,876.2096774193549,361.5806451612903,369.64516129032256,2.629032258064516,95.59677419354838,1.6129032258064515,1.9838709677419355,43.16129032258065,176.29032258064515,100.0,82.82067571842607,34.761889432470696,34.12569834353577,0.24704895830690327,9.161331305914091,0.1486939555965017,0.19864341573585867,4.177370306866256,17.17932428157391,18.899751039771242,21.783997760067663,35.14614594880416,27.90985096314462,69.71111981887843,203.74549974458145,-100.0,-6.153846153846155,508.71867629069413,54.35207531513943,0.8076199358653118,0.7792753848826671,0.0,0.8076199358653114,0.7792753848826668
1,MACARTHUR,1330.9354838709678,1127.741935483871,386.0,495.7096774193548,5.419354838709677,119.93548387096774,8.32258064516129,9.67741935483871,102.6774193548387,203.19354838709677,100.0,85.02938857238986,31.025490160641084,37.77634872597793,0.29073792053163505,7.682165481223927,0.6683137642145766,0.5202913631633714,7.066041156637344,14.970611427610145,1084.6451612903227,883.5806451612904,235.09677419354838,464.2258064516129,0.8709677419354839,146.2258064516129,5.161290322580645,0.967741935483871,31.032258064516128,201.06451612903226,100.0,82.38754818812629,22.951763673618768,43.47028230474451,0.07418805297576524,12.613668847002307,0.3488624878854171,0.08243116997307248,2.8463516519265006,17.612451811873694,45.639889027437114,50.53010477451264,117.46998483540501,32.5267721622112,-11.111111111111105,591.2529726798729,-56.94444444444444,66.66666666666667,645.1402991303322,188.74445405563804,0.7985010844116011,0.764635397703937,1.0,0.7985010844116011,0.7646353977039374
2,HAYWARD,2545.0,1773.0,381.0,211.0,0.0,1067.0,10.0,0.0,104.0,772.0,100.0,69.66601178781924,14.970530451866406,8.290766208251474,0.0,41.925343811394896,0.39292730844793716,0.0,4.086444007858546,30.333988212180746,2107.5714285714284,866.4285714285714,272.14285714285717,176.57142857142858,2.857142857142857,284.0,29.0,0.0,101.85714285714286,1241.142857142857,100.0,42.76780974335584,13.784954672149098,7.225274570351617,0.12363231748779129,16.068972122916453,1.4898722184754638,0.0,4.075103841975407,57.23219025664416,58.2991913318916,171.79410812521084,85.15809607549336,12.3896532824769,-100.0,426.4943671522289,-87.0733571064697,,166.1741973737587,-12.76309440176611,0.8014180231554721,0.6734151777826315,2.0,0.8014180231554721,0.6734151777826315
3,SOUTH HAYWARD,2119.3888888888887,1455.111111111111,234.11111111111111,156.27777777777777,7.333333333333333,896.3333333333334,71.88888888888889,0.0,89.16666666666667,664.2777777777778,100.0,65.76169825968144,10.524936724610539,7.450659533206762,0.27090259820219187,39.133660976791745,3.4280129452333106,0.0,4.953525481636908,34.23830174031853,1926.6666666666667,1236.1666666666667,296.3888888888889,118.22222222222223,3.2777777777777777,682.1666666666666,66.27777777777777,1.7777777777777777,68.05555555555556,690.5,100.0,61.98604603737962,15.324921752427665,5.858013776989754,0.35397168226541875,34.11247468499808,3.0700549643444566,0.1251305505459167,3.14147862580835,38.01395396262038,30.777971678407408,76.66334490587087,45.33397232299137,377.5782596623849,-100.0,135.10845766961333,141.65636650124404,-100.0,123.29258424941216,84.73386291719697,0.753840905383014,0.7202617482017367,3.0,0.7538409053830135,0.7202617482017365
4,FRUITVALE,1471.1363636363637,1218.9545454545455,921.0,23.772727272727273,8.0,220.27272727272728,3.272727272727273,10.772727272727273,31.863636363636363,252.1818181818182,100.0,82.22134611694099,62.0073450250801,1.5435708509603103,0.5564805936079185,14.6522727912601,0.24478139661385742,0.8420414688030246,2.374853990615691,17.778653883058986,1149.3636363636363,908.4090909090909,567.0454545454545,56.86363636363637,4.7727272727272725,224.45454545454547,2.1363636363636362,12.772727272727273,40.36363636363637,240.95454545454547,100.0,76.50797223776813,49.50918829647065,5.29725939471794,0.4695232533072921,16.95902142973609,0.2143361836244959,0.8160362068155586,3.242607473096118,23.492027762231864,149.23268223195308,165.1277987523558,305.6712596442609,-21.452506269113368,-31.954365079365083,377.6521113679618,-45.476190476190474,-4.389981363665579,18.2701089072743,348.5095268581949,0.6111728189896521,0.6331571789809829,4.0,0.6111728189896524,0.6331571789809831
5,NORTH BERKELEY,1413.9130434782608,1118.0,586.4782608695652,264.7391304347826,0.0,168.17391304347825,46.26086956521739,0.0,52.34782608695652,295.9130434782609,100.0,79.23525420621424,41.8076749337643,17.792640720231002,0.0,12.0483843938313,3.115086732614884,0.0,4.471467425772768,20.76474579378577,1174.8260869565217,951.0869565217391,578.695652173913,135.34782608695653,4.043478260869565,178.30434782608697,6.695652173913044,3.6956521739130435,44.30434782608695,223.7391304347826,100.0,82.60733410907147,51.311385015190915,11.320799766507099,0.26332784041208607,15.245394795096294,0.508443259887157,0.3643262000526808,3.593657231925244,17.392665890928523,35.9760129476413,29.856359457467644,11.695360155912477,216.53905335745682,-100.0,31.12831746080724,83.23412698412699,-100.0,205.83623101867104,430.48524251602777,0.8042337756028501,0.7055024982132369,5.0,0.8042337756028498,0.7055024982132369
6,19TH STREET/OAKLAND,1120.925,990.9,256.225,180.8,5.05,500.975,9.8,4.55,33.5,130.025,100.0,88.42291419526813,24.581065837146422,19.666683274900162,1.1285993918420385,39.49040610811364,0.621582247619801,0.3622420922424989,2.572335243403595,11.577085804731848,1123.975,1015.475,233.8,304.025,4.825,421.3,3.975,0.85,46.7,108.5,100.0,87.54296546882476,25.12032505111115,24.62349126498919,0.3876678394166695,33.59243251921044,0.39112033055166623,0.07354304167611081,3.3543854218695395,12.457034531175237,57.44528626637951,86.89911030605214,102.94204605981773,149.61920588545155,-33.290802764486976,281.4423580117047,-15.61920222634508,-47.22222222222223,69.98589173887672,343.49114881477374,0.7571925420587646,0.6579185920786297,6.0,0.7571925420587641,0.65791859207863
7,BAY FAIR,1220.5384615384614,503.0,67.07692307692308,183.92307692307693,4.3076923076923075,212.0,0.0,0.0,35.69230769230769,717.5384615384615,100.0,37.230591860942056,5.188289157160752,13.05264558182846,0.4558404558404559,15.513208509317453,0.0,0.0,3.020608156794928,62.769408139057944,1574.5384615384614,1087.7692307692307,306.46153846153845,185.69230769230768,9.461538461538462,494.7692307692308,23.23076923076923,0.0,68.15384615384616,486.7692307692308,100.0,68.84409436778945,20.84210582339492,11.1762316657756,0.6728436779714357,29.957592134114808,1.5979203842046323,0.0,4.597400682328052,31.155905632210548,-15.161862889216767,-51.74501449514552,-75.60824097003703,58.85479087062522,-73.73737373737373,-47.11590124840233,-100.0,,-20.64803592084032,119.83495616785946,0.5963380456568542,0.8068281707576197,7.0,0.5963380456568544,0.8068281707576196
8,UNION CITY,2266.925925925926,1994.7037037037037,326.48148148148147,99.37037037037037,4.444444444444445,1277.6666666666667,19.666666666666668,5.333333333333333,261.74074074074076,272.22222222222223,100.0,83.60026010301344,14.653248483418006,4.383493519792684,0.2313609809705593,55.010138122038434,0.5332610267534346,0.14461315979754155,8.644144810242764,16.399739896986574,2059.222222222222,1634.5925925925926,351.0,79.33333333333333,8.925925925925926,1024.0,22.444444444444443,9.148148148148149,139.74074074074073,424.6296296296296,100.0,73.8126183576029,15.71280058808461,3.862547305089994,0.3951424681241154,47.09338162386742,0.8460828302525413,0.45245409575822604,5.450209446426022,26.187381642397074,31.348061096424452,101.83146276147961,74.85986106260731,403.44538681412183,-76.54135338345864,96.39887265540344,-31.982017982017986,-80.1040656142517,801.3653653765822,-8.630577996255491,0.7089048909826811,0.6992728599853364,8.0,0.7089048909826815,0.6992728599853364
9,LAKE MERRITT,1797.84,1647.54,500.58,142.68,13.04,869.38,6.28,2.6,112.98,150.3,100.0,92.59406286064788,29.374963293794604,8.030561230703603,0.8126253005087425,47.96023119542822,0.5075933592693272,0.19228397960570398,5.71580450133761,7.405937139352142,1223.9,1106.96,332.3,142.54,3.6,559.0,3.96,0.42,65.14,116.94,100.0,89.76719115508732,29.021686463255495,11.357884467489736,0.3286587564981344,43.70352395515395,0.42424991728593187,0.025424424880442907,4.905763170523582,10.232808844912704,211.5540907978116,264.46449487152137,374.68662224072995,159.59792774243056,1.1103613735192728,950.4725712267235,-4.845959120975579,-4.166666666666664,260.2823409141881,316.58675884061273,0.6955690884661765,0.6800328787006649,9.0,0.695569088466176,0.6800328787006648
